Player,Game,Team,Hero,Stat,Role,Best Attribute,Actual Result
1585,99,397,31,0,3,2,0
1586,99,397,14,0,1,1,0
1587,99,397,30,0,2,0,0
1588,99,397,62,1,0,0,0
1589,99,398,54,,5,,1
1590,99,398,44,0,3,0,1
1591,99,398,95,1,0,0,1
1592,99,398,20,1,2,0,1
1593,,399,17,0,1,1,1
1594,,399,31,1,2,0,1
1595,,399,53,0,3,2,1
1596,,399,75,0,0,0,1
1597,,400,20,0,2,0,0
1598,,400,9,0,1,1,0
1599,,400,95,1,0,0,0
1600,,400,47,1,5,0,0
1601,,401,5,1,3,2,1
1602,,401,18,0,1,1,1
1603,,401,69,0,2,0,1
1604,,401,95,0,0,0,1
1605,,402,48,1,5,0,0
1606,,402,30,0,1,1,0
1607,,402,65,1,0,0,0
1608,,402,31,0,4,1,0
1609,,403,26,1,2,0,1
1610,,403,69,0,3,2,1
1611,,403,30,0,1,1,1
1612,,403,102,1,0,0,1
1613,,404,5,0,5,0,0
1614,,404,52,0,3,2,0
1615,,404,95,1,5,0,0
1616,,404,84,0,1,1,0
1617,,405,5,0,2,0,1
1618,,405,47,0,1,1,1
1619,,405,31,0,3,2,1
1620,,405,95,1,0,0,1
1621,,406,52,1,2,0,0
1622,,406,48,0,1,1,0
1623,,406,65,1,0,0,0
1624,,406,50,1,3,2,0
1625,,407,35,1,2,0,0
1626,,407,25,0,4,1,0
1627,,407,9,0,1,1,0
1628,,407,95,1,0,0,0
1629,,408,14,0,1,1,1
1630,,408,31,0,5,0,1
1631,,408,65,1,5,0,1
1632,,408,47,0,4,1,1
1633,,409,54,1,2,0,0
1634,,409,18,0,3,0,0
1635,,409,36,0,1,1,0
1636,,409,90,1,0,0,0
1637,,410,17,1,2,0,1
1638,,410,36,0,1,1,1
1639,,410,90,1,5,0,1
1640,,410,71,0,4,1,1
1641,,411,53,0,2,0,0
1642,,411,28,0,3,2,0
1643,,411,17,1,1,1,0
1644,,411,90,1,0,0,0
1645,,412,76,1,3,2,1
1646,,412,30,1,1,1,1
1647,,412,90,1,0,0,1
1648,,412,9,0,2,0,1
1649,,413,52,0,2,0,0
1650,,413,53,1,1,1,0
1651,,413,30,1,3,2,0
1652,,413,95,1,0,0,0
1653,,414,44,1,5,2,1
1654,,414,76,0,3,2,1
1655,,414,62,1,0,0,1
1656,,414,35,0,1,1,1
1657,,415,25,0,1,1,1
1658,,415,28,0,2,0,1
1659,,415,35,0,3,2,1
1660,,415,90,1,0,0,1
1661,,416,70,0,1,1,0
1662,,416,31,1,5,2,0
1663,,416,62,0,0,0,0
1664,,416,17,1,2,0,0
1665,,417,93,0,3,0,0
1666,,417,34,1,1,1,0
1667,,417,54,1,2,0,0
1668,,417,62,1,0,0,0
1669,,418,2,0,5,2,1
1670,,418,93,0,1,1,1
1671,,418,75,0,0,0,1
1672,,418,44,1,3,2,1
1673,,419,36,0,4,1,1
1674,,419,42,0,4,1,1
1675,,419,102,0,2,0,1
1676,,419,35,0,0,0,1
1677,,420,25,0,5,0,0
1678,,420,9,0,4,1,0
1679,,420,65,0,0,0,0
1680,,420,54,0,1,1,0
1681,,421,44,1,1,1,0
1682,,421,17,0,5,2,0
1683,,421,54,1,0,0,0
1684,,421,62,1,2,0,0
1685,,422,54,0,3,0,1
1686,,422,93,0,1,1,1
1687,,422,62,1,5,0,1
1688,,422,31,0,2,0,1
1689,,423,25,0,1,1,1
1690,,423,28,1,3,2,1
1691,,423,35,0,2,0,1
1692,,423,90,0,0,0,1
1693,,424,70,0,2,0,0
1694,,424,31,0,4,1,0
1695,,424,62,0,0,0,0
1696,,424,17,0,1,1,0
1697,,425,30,0,3,0,0
1698,,425,53,1,1,1,0
1699,,425,28,1,2,0,0
1700,,425,92,1,0,0,0
1701,,426,25,0,5,2,1
1702,,426,42,0,1,1,1
1703,,426,62,0,0,0,1
1704,,426,35,1,3,2,1
1705,,427,36,0,3,2,1
1706,,427,47,0,2,0,1
1707,,427,54,1,1,1,1
1708,,427,75,1,0,0,1
1709,,428,50,0,3,0,0
1710,,428,54,0,5,2,0
1711,,428,90,0,0,0,0
1712,,428,41,1,2,0,0
1713,,429,17,1,1,1,1
1714,,429,5,0,4,1,1
1715,,429,69,0,2,0,1
1716,,429,102,0,0,0,1
1717,,430,15,0,4,1,0
1718,,430,52,0,2,0,0
1719,,430,75,1,0,0,0
1720,,430,5,0,5,0,0
1721,,431,19,1,3,2,1
1722,,431,25,1,2,0,1
1723,,431,44,0,1,1,1
1724,,431,62,1,0,0,1
1725,,432,93,1,5,2,0
1726,,432,19,0,1,1,0
1727,,432,95,0,0,0,0
1728,,432,31,1,2,0,0
1729,,433,17,0,2,0,1
1730,,433,36,0,3,0,1
1731,,433,5,0,1,1,1
1732,,433,102,0,0,0,1
1733,,434,50,0,4,1,0
1734,,434,53,0,2,0,0
1735,,434,90,1,0,0,0
1736,,434,76,0,1,1,0
1737,,435,44,1,3,2,0
1738,,435,47,1,1,1,0
1739,,435,26,1,2,0,0
1740,,435,62,1,0,0,0
1741,,436,31,0,4,1,1
1742,,436,19,0,2,0,1
1743,,436,75,1,0,0,1
1744,,436,11,1,5,2,1
1745,,437,34,0,1,1,0
1746,,437,54,0,4,1,0
1747,,437,17,0,2,0,0
1748,,437,90,0,0,0,0
1749,,438,70,0,1,1,1
1750,,438,5,0,2,0,1
1751,,438,75,0,0,0,1
1752,,438,44,1,5,1,1
1753,,439,30,0,5,2,0
1754,,439,14,0,2,0,0
1755,,439,52,1,3,2,0
1756,,439,95,1,0,0,0
1757,,440,17,0,5,2,1
1758,,440,95,1,2,0,1
1759,,440,35,0,0,0,1
1760,,440,41,0,1,1,1
1761,,441,47,0,3,2,1
1762,,441,26,1,2,0,1
1763,,441,70,0,1,1,1
1764,,441,62,1,0,0,1
1765,,442,54,1,3,2,0
1766,,442,28,1,0,0,0
1767,,442,62,1,2,0,0
1768,,442,76,0,5,0,0
1769,,443,47,0,4,1,1
1770,,443,19,0,2,0,1
1771,,443,44,0,5,2,1
1772,,443,92,0,0,0,1
1773,,444,48,0,2,0,0
1774,,444,19,1,1,1,0
1775,,444,65,0,0,0,0
1776,,444,9,1,5,2,0
1777,,445,14,0,4,1,1
1778,,445,9,0,2,0,1
1779,,445,50,0,1,1,1
1780,,445,62,1,0,0,1
1781,,446,11,0,5,0,0
1782,,446,14,0,2,0,0
1783,,446,90,1,5,0,0
1784,,446,28,0,1,1,0
1785,,447,69,1,2,0,1
1786,,447,35,0,1,1,1
1787,,447,93,0,4,1,1
1788,,447,62,0,0,0,1
1789,,448,50,1,5,1,0
1790,,448,41,1,2,0,0
1791,,448,75,1,0,0,0
1792,,448,54,1,1,1,0
1793,,449,35,0,1,1,1
1794,,449,50,1,2,0,1
1795,,449,28,0,4,1,1
1796,,449,75,0,0,0,1
1797,,450,42,0,4,1,0
1798,,450,50,0,5,0,0
1799,,450,75,0,0,0,0
1800,,450,44,0,2,0,0
1801,,451,18,1,2,0,1
1802,,451,69,0,4,1,1
1803,,451,53,1,1,1,1
1804,,451,62,0,0,0,1
1805,,452,93,0,5,2,0
1806,,452,44,0,4,1,0
1807,,452,95,0,0,0,0
1808,,452,42,0,1,1,0
1809,,453,25,0,3,2,0
1810,,453,2,0,1,1,0
1811,,453,53,0,2,0,0
1812,,453,62,0,0,0,0
1813,,454,28,0,4,1,1
1814,,454,50,0,1,1,1
1815,,454,90,1,0,0,1
1816,,454,14,0,5,2,1
1817,,455,5,0,3,0,1
1818,,455,28,0,5,0,1
1819,,455,47,0,2,0,1
1820,,455,102,0,0,0,1
1821,,456,34,1,1,1,0
1822,,456,5,0,4,1,0
1823,,456,75,1,0,0,0
1824,,456,93,1,2,0,0
1825,,457,25,1,2,0,1
1826,,457,9,1,1,1,1
1827,,457,53,0,4,1,1
1828,,457,90,1,0,0,1
1829,,458,41,0,5,2,0
1830,,458,36,1,2,0,0
1831,,458,90,0,0,0,0
1832,,458,54,0,4,1,0
1833,,459,31,0,3,0,0
1834,,459,14,0,1,1,0
1835,,459,47,0,2,0,0
1836,,459,90,1,0,0,0
1837,,460,44,0,5,0,1
1838,,460,30,1,1,1,1
1839,,460,65,1,0,0,1
1840,,460,71,0,2,0,1
1841,,461,70,0,1,1,0
1842,,461,25,1,2,0,0
1843,,461,35,0,4,1,0
1844,,461,102,1,0,0,0
1845,,462,76,0,1,1,1
1846,,462,26,0,3,2,1
1847,,462,90,1,5,0,1
1848,,462,28,0,2,0,1
1849,,463,31,0,5,2,1
1850,,463,53,0,3,0,1
1851,,463,30,1,2,0,1
1852,,463,92,1,0,0,1
1853,,464,20,1,5,2,0
1854,,464,53,0,2,0,0
1855,,464,62,1,0,0,0
1856,,464,50,1,1,1,0
1857,,465,17,0,1,1,1
1858,,465,5,0,2,0,1
1859,,465,69,0,3,2,1
1860,,465,92,1,0,0,1
1861,,466,2,1,5,0,0
1862,,466,19,0,2,0,0
1863,,466,90,0,0,0,0
1864,,466,28,0,4,1,0
